,count,hate_speech,offensive_language,neither,class,tweet,clean_tweets
0,3,0,0,3,neither,!!!  @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,a woman should not complain clean house amp man always take trash
1,3,0,3,0,offensive_language,!!!!!  @mleew: boy dats cold...tyga dwn bad for cuffin dat hoe in the st place!!,boy dat coldtyga dwn bad cuffin dat hoe st place
2,3,0,3,0,offensive_language,!!!!!!!  @UrKindOfBrand Dawg!!!!  @sbabylife: You ever fuck a bitch and she start to cry? You be confused as shit,dawg you ever fuck bitch start cry you confuse shit
3,3,0,2,1,offensive_language,!!!!!!!!!  @C_G_Anderson: @viva_based she look like a tranny,look like tranny
4,6,0,6,0,offensive_language,!!!!!!!!!!!!!  @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#;,the shit hear might true might faker bitch tell ya
5,3,1,2,0,offensive_language,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#;&#;&#;""",the shit blow meclaim faithful somebody still fuck hoe
6,3,0,3,0,offensive_language,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",sit hate another bitch get much shit go
7,3,0,3,0,offensive_language,!!!!&#;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#;,because i be tire big bitch come u skinny girl
8,3,0,3,0,offensive_language,""" &amp; you might not get ya bitch back &amp; thats that """,amp might get ya bitch back amp that be
9,3,1,2,0,offensive_language,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",hobby include fight mariam bitch
10,3,0,3,0,offensive_language,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",keeks bitch curve everyone lol walk conversation like smh
11,3,0,3,0,offensive_language,""" Murda Gang bitch its Gang Land """,murda gang bitch gang land
12,3,0,2,1,offensive_language,""" So hoes that smoke are losers ? "" yea ... go on IG",so hoes smoke loser yea go ig
13,3,0,3,0,offensive_language,""" bad bitches is the only thing that i like """,bad bitch thing like
14,3,1,2,0,offensive_language,""" bitch get up off me """,bitch get
15,3,0,3,0,offensive_language,""" bitch nigga miss me with it """,bitch nigga miss
16,3,0,3,0,offensive_language,""" bitch plz whatever """,bitch plz whatever
17,3,1,2,0,offensive_language,""" bitch who do you love """,bitch love
18,3,0,3,0,offensive_language,""" bitches get cut off everyday B """,bitch get cut everyday
19,3,0,3,0,offensive_language,""" black bottle &amp; a bad bitch """,black bottle amp bad bitch
20,3,0,3,0,offensive_language,""" broke bitch cant tell me nothing """,break bitch can not tell nothing
21,3,0,3,0,offensive_language,""" cancel that bitch like Nino """,cancel bitch like nino
22,3,0,3,0,offensive_language,""" cant you see these hoes wont change """,can not see hoe will not change
23,3,0,3,0,offensive_language,""" fuck no that bitch dont even suck dick "" &#;&#;&#; the Kermit videos bout to fuck IG up",fuck bitch do not even suck dick kermit video bout fuck ig
24,3,0,3,0,offensive_language,""" got ya bitch tip toeing on my hardwood floors "" &#; http://t.co/cOUWQLq",get ya bitch tip toe hardwood floor
25,3,0,2,1,offensive_language,""" her pussy lips like Heaven doors "" &#;",pussy lip like heaven door
26,3,0,3,0,offensive_language,""" hoe what its hitting for """,hoe hit
27,3,0,3,0,offensive_language,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#;",meet pussy ocean dr give pussy pill
28,3,0,3,0,offensive_language,""" i need a trippy bitch who fuck on Hennessy """,need trippy bitch fuck hennessy
29,3,0,3,0,offensive_language,""" i spend my money how i want bitch its my business """,spend money want bitch business
30,3,0,3,0,offensive_language,""" i txt my old bitch my new bitch pussy wetter """,txt old bitch new bitch pussy wetter
31,3,0,3,0,offensive_language,""" i'd say im back to the old me but my old bitches would get excited "" &#;",id say i be back old old bitch would get excited
32,3,0,3,0,offensive_language,""" if you aint bout that Murder Game pussy nigga shut up """,be not bout murder game pussy nigga shut
33,3,0,3,0,offensive_language,""" if you're toes ain't done you pussy stinks """,you be toe be not do pussy stink
34,3,0,3,0,offensive_language,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,i be do bitter bitch wrap angry bird there be app
35,3,0,3,0,offensive_language,""" is that ya bitch """,ya bitch
36,3,0,3,0,offensive_language,""" it aint nothing to cut a bitch off """,be not nothing cut bitch
37,3,0,3,0,offensive_language,""" jus meet son now he ya mane ass bitches "" #Shots",jus meet son ya mane as bitch shot
38,3,0,2,1,offensive_language,""" lames crying over hoes thats tears of a clown """,lame cry hoe that be tear clown
39,3,0,3,0,offensive_language,""" like Snoop said in  we dont love these hoes """,like snoop say do not love hoe
40,3,0,1,2,neither,""" momma said no pussy cats inside my doghouse """,momma say pussy cat inside doghouse
41,3,0,3,0,offensive_language,""" most hated but the hoes favorite "" #MW #SevenOne # http://t.co/BMdSVMcrC",hat hoe favorite mw sevenone
42,3,0,3,0,offensive_language,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDlkFU",nice girl bad make get naughty bad yello hoe real nice body down south chick like them real thick
43,3,0,3,0,offensive_language,""" pimps up pimps up hoes down "" Future voice",pimp pimp hoe future voice
44,3,0,3,0,offensive_language,""" post a picture of that pussy get  likes """,post picture pussy get like
45,3,0,3,0,offensive_language,""" pussy is a powerful drug "" &#; #HappyHumpDay http://t.co/RjsymiBb",pussy powerful drug happyhumpday
46,3,0,3,0,offensive_language,""" quick piece of pussy call it a drive by """,quick piece pussy call drive
47,3,0,3,0,offensive_language,""" running round here like some brand new pussy thats bout to get fucked """,run round like brand new pussy that be bout get fuck
48,3,0,3,0,offensive_language,""" these bitches even worst they'll send them guys for you """,bitch even worst they will send guy
49,3,1,2,0,offensive_language,""" these hoes like niggas that spend money not talk bout it """,hoe like nigga spend money talk bout
50,3,1,2,0,offensive_language,""" we dont trust these niggas all these bitches """,do not trust nigga bitch
51,3,0,3,0,offensive_language,""" yall niggas b cuffing hoes cause yall aint never have bitches """,you all niggas cuffing hoe because you all be not never bitch
52,3,0,3,0,offensive_language,""" you dodge a bullet "" &#; &#;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#;""&#;",dodge bullet all da bitch cut pregnant bound thank god
53,3,0,3,0,offensive_language,""" young Pill Chamberlain these bitches love my music """,young pill chamberlain bitch love music
54,3,0,2,1,offensive_language,"""&#;&#;&#;&#;&#;&#;&#;&#;&#;&#;&#;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",teanna trump probably cleaner twitter hoe
55,3,0,3,0,offensive_language,"""&#;&#;&#;&#;&#;&#;&#;&#;&#;&#;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",gay nigga could not wait act like bitch tonight
56,3,0,3,0,offensive_language,"""&#;&#;&#;@The_Paradox: And ima steal his cat n replace it with a pitbull &#;&#;&#;&#;  @sbabylife: @The_Paradox He a bitch you should do it""",and i be about to steal cat replace pitbull he bitch
57,3,0,3,0,offensive_language,"""&amp; he's gone always be a hoe""",amp he go always hoe
58,3,0,3,0,offensive_language,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",son bitch take tic tacs like movie
59,3,0,3,0,offensive_language,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",all want to get money fuck model bitch russell simmons
60,3,0,2,1,offensive_language,"""@seniorprobs: I probably wouldn&#;t mind school as much if we didn&#;t have to deal with bitch ass teachers"". Retweet",probably would not mind school much do not deal bitch as teacher retweet
61,3,0,3,0,offensive_language,"""@AXDemery: I'm a fucking fag they said""",i be fuck fag say
62,3,0,3,0,offensive_language,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJgGsz"" how does doing this stuff make him a pussy?",female think date pussy cute stuff make pussy
63,3,0,0,3,neither,"""@AddictedGuys: -SimplyAddictedToGuys http://t.co/jLhiZMF"" woof woof hot scally lad",simplyaddictedtoguys woof woof hot scally lad
64,3,0,3,0,offensive_language,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",have ya ever ask bitch bitch kanye voice yes
65,3,0,3,0,offensive_language,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#;&#;&#;&#;"" I SWEAR!!!!!",how go bring you be side bitch game you know ya gf friend swear
66,3,0,1,2,neither,"""@AllAboutManFeet: http://t.co/gzUpfuMev"" woof woof and hot soles",woof woof hot sol
67,3,0,1,2,neither,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",lemmie eat oreo amp dish one oreo lol
68,3,0,3,0,offensive_language,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGANC"" maybe you'll get better. Just http://t.co/TPreVwfqS",bitch fuck maybe you will get good just
69,3,1,2,0,offensive_language,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",fuck red malone man bitch as niggah could please use complete sentence
70,3,0,0,3,neither,"""@ArizonasFinest: Why the eggplant emoji doe?""y he say she looked like scream lmao",why eggplant emoji doey say look like scream lmao
71,3,0,3,0,offensive_language,"""@AutoWorId: Hennessey Venom GT &#; http://t.co/ieGMnKaJ"" that's one sexy bitch",hennessey venom gt that be one sexy bitch
72,3,0,3,0,offensive_language,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",him seh pussy wetter shower curtainahmesehwetnessltlmao
73,3,0,3,0,offensive_language,"""@BRO_HEN: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",eaglesnation every eagle need see pic post bitch say racist shit
74,3,1,2,0,offensive_language,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzPHMT""
@AmJemieBenn",yo fuck skateboard you all wood push faggot man ball life
75,3,0,1,2,neither,"""@BabyAnimalPics: baby monkey bathtime http://t.co/KPWAdLFR""
Awwwwe! This is soooo ADORABLE!",baby monkey bathtime awwwwe this soooo adorable
76,3,0,3,0,offensive_language,"""@BaylaaGottaBody: &#;&#;&#;&#; I ain't shit ."" Damn Skippy lol",be not shit damn skippy lol
77,3,1,2,0,offensive_language,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;%chance",ever kill ant sidewalk think damn nigga way get pussyno b must gtchance
78,3,0,3,0,offensive_language,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGLYu""  rings  mvps  bitches lol",ring mvps bitch lol
79,3,1,2,0,offensive_language,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",people talk bad ghettohood kid grow nigga funnnnnnn
80,9,0,7,2,offensive_language,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZe"" he's a pussy with not tattooing them nipples",the fact tattoostattoo he pussy tattoo nipple
81,3,0,3,0,offensive_language,"""@Bill_: &#;&#;&#;  @nel_ayden Bitches be wanting to act like niggas so bad &#;&#;&#; that shit aint cuteeeee"" but niggas act like bitches..",bitch want act like niggas bad shit be not cuteeeee nigga act like bitch
82,3,0,3,0,offensive_language,"""@BitchJones: Get worshiping bitch! http://t.co/RCejCjou"" woof woof",get worshiping bitch woof woof
83,3,1,2,0,offensive_language,"""@BlackChiquitita: Wow.  @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/ynguyOUQ"" yeah she's a hoe",wow i be lose be buttcheek piercings yeah she be hoe
84,3,0,3,0,offensive_language,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",ok si she would rather break bitch shrug she will tell work
85,3,2,1,0,hate_speech,"""@BlackmanTide: @WhaleLookyHere @HowdyDowdy queer"" gaywad",queer gaywad
86,3,0,3,0,offensive_language,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",faggot read tweet dat be not even funny lol
87,3,0,3,0,offensive_language,"""@BrosConfessions: This bitch was so ungrateful http://t.co/ebGwbx"" fr ..... LULWHORE",this bitch ungrateful fr lulwhore
88,3,0,3,0,offensive_language,"""@CASHandBOOBIES: I been kidnapped yo bitch""",kidnap yo bitch
89,3,3,0,0,hate_speech,"""@CB_Baby: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",alsarabsss he beaner smh tell he mexican
90,3,1,2,0,offensive_language,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",happy birthday nigs thanks yo
91,6,1,5,0,offensive_language,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKkvawIj"" this bitch need to go!!!",you be teacher tell homework bitch need go
92,3,1,2,0,offensive_language,"""@CaelanG: ""@EdHam: @CaelanG that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPrh",nigga eat hoe lol hell yea lol john paul nigga say john paul
93,3,0,3,0,offensive_language,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",what would you all lil ugly bald head bitch stop make makeup amp weave
94,3,1,2,0,offensive_language,"""@CarelessOne: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",leafs well win damn game go riot shit earlychristmas good start loot nig
95,3,0,3,0,offensive_language,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",go back school suck dick hoe attend
96,3,0,3,0,offensive_language,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/jTzER"" me as a  year old",on way fuck yo bitch year old
97,3,0,3,0,offensive_language,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",come never bring food do not car retard
98,3,0,3,0,offensive_language,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like  prople",if richnow do not show hella tinder hoe i be friend anymore chill bring like like prople
99,3,1,2,0,offensive_language,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",how bout cowboys shutup pussy
100,3,0,3,0,offensive_language,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",lmaooooooooooo nigga ltbitch want like depress shitfoh
101,3,0,3,0,offensive_language,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",girl know spit shit amp go lbvsbitch plz
102,3,0,3,0,offensive_language,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",let make couple tweet cuzzo page will not get twitter jaillmao bitch do not trick
103,3,0,2,1,offensive_language,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for  seconds.""",harlem shake excuse go full retard second
104,3,0,3,0,offensive_language,"""@ComedyTruth: amen miley &#; http://t.co/PKbtfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",amen miley do not need act like hoe because she be emotionally damage foh
105,3,0,3,0,offensive_language,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#;""",one loyal female wayyyyy well hoe idc
106,3,0,3,0,offensive_language,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople &#; https://t.co/KeegDCjSK&#;""""""""

&#;",pussy lick pussy meow meow stopwhitepeople
107,3,0,3,0,offensive_language,"""@DBAB_Holloway: Check out our th man. #CowboysNation"" even with all those faggot ny fans in the stands",check th man cowboysnation even faggot ny fan stand
